Date,Open,High,Low,Close,Volume,Adj Close
2002-12-02,19.75,20.15,16.35,17.96,2945300,11.75
2002-11-01,13.66,19.65,13.19,19.41,4197000,12.70
2002-10-01,13.25,14.22,10.50,13.75,4154200,9.00
2002-09-03,13.33,16.08,12.35,13.06,4509100,8.54
2002-08-01,18.52,18.88,13.33,13.43,4068300,8.79
2002-07-01,23.45,24.47,16.00,18.88,3911900,12.35
2002-06-03,26.49,26.55,22.40,23.65,3631800,15.47
2002-05-01,30.00,31.25,25.45,26.37,3439400,17.25
2002-04-01,34.93,36.95,29.39,30.05,4186400,19.66
2002-03-01,31.45,38.00,31.40,34.96,4502100,22.87
2002-02-01,30.10,32.09,24.83,31.15,3485500,20.38
2002-01-02,28.51,33.30,26.92,30.35,3168500,19.86
2001-12-03,27.20,30.87,26.90,28.51,3519800,18.65
2001-11-01,22.12,27.59,22.06,27.27,5143800,17.84
2001-10-01,19.15,24.79,18.72,22.27,2428800,14.57
2001-09-04,26.35,26.95,18.00,19.55,3321100,12.79
2001-08-01,29.50,32.70,24.30,26.50,2413800,17.34
2001-07-02,32.50,33.50,26.20,28.61,2410800,18.72
2001-06-01,34.50,36.45,27.25,32.50,3368800,21.26
2001-05-01,37.90,41.18,32.25,33.54,3252900,21.94
2001-04-02,32.25,41.00,25.00,39.01,3355200,25.52
2001-03-01,35.90,42.38,29.60,30.73,4264400,20.11
2001-02-01,53.40,55.00,35.55,36.00,4459900,23.55
2001-01-02,53.88,68.00,47.56,54.55,3883200,35.69
2000-12-01,52.94,59.88,49.88,54.75,3636700,35.82
2000-11-01,46.00,54.00,38.06,52.19,4217300,34.14
2000-10-02,49.12,58.63,39.25,46.31,4464600,30.30
2000-09-01,60.69,62.69,44.37,48.94,3271900,32.02
2000-08-01,40.69,64.00,38.19,61.00,5706100,39.91
2000-07-03,74.00,80.94,39.50,40.75,8450300,26.66
2000-06-01,74.44,83.75,62.00,73.75,8530600,48.25
2000-05-01,88.62,104.12,54.00,73.62,5110900,48.17
2000-04-03,103.00,125.00,73.06,88.62,2518100,57.98
2000-03-01,104.50,162.00,90.00,104.00,2670100,68.04
2000-02-01,66.25,115.44,66.25,103.88,1694800,67.96
2000-01-03,78.75,78.94,58.12,66.19,2296000,43.30
